LOCATION_CODE,STW,LOCATION_DESCRIPTION,POSITION,WBID
311506,311506,"Cumnock STW, Cumnock, Ayrshire, KA18 1RS",STW,10427
404874,311506,Lugar Water U/S of Cummock STW,US,10427
121646,311506,"LUGAR WATER D/S UNDERWOOD STW, U/S OF A76 ROAD BRIDGE",DS,10427
232239,232239,"Persley STW, Persley, Aberdeen, AB22 8AQ",STW,23265
532979,232239,"River Don (East Bank), d/s of Bucks Burn conf, u/s of pipe bridge",US,23265
557761,232239,"River Don, d/s of Persley STW at 300m d/s of Persley Bridge",DS,23265
322242,322242,"Joppa STW, Joppa, Coylton, KA6 6LR",STW,10422
101920,322242,Byres Burn U/S Joppa STW,US,10422
101931,322242,Byres Burn D/S Joppa STW,DS,10422
311479,311479,"Strathblane STW, Blanefield, Glasgow, G63 9AL",STW,10156
337677,311479,Blane Water u/s Strathblane STW,US,10156
121476,311479,Blane Water d/s Strathblane STW,DS,10156
13280,13280,"Harthill STW, Harthill, ML7 5SR",STW,3031
414,13280,HOW BURN U/S HARTHILL STW,US,3031
613,13280,HOW BURN D/S HARTHILL STW,DS,3031
13746,13746,"Methven STW, Perth, PH1 3RH",STW,6510
467639,13746,Methven Burn u/s of Methven STW,US,6510
467640,13746,Methven Burn d/s of Methven STW,DS,6510
340630,340630,"Balfron STW, Balfron, Glasgow, G63 0RN",STW,10153
476697,340630,Endrick Water u/s of Balfron STW,US,10153
533036,340630,"Endrick Water, d/s of Balfron STW at Endrick Cottage",DS,10153
205082,205082,"Rothienorman STW, Inverurie, Aberdeenshire, AB51 8UE",STW,23234
207362,205082,"Fordoun Burn, u/s of Rothienorman STW",US,23234
207361,205082,Fordoun Burn d/s Rothienorman STW,DS,23234
13363,13363,"Pathhead STW, Pathhead, EH37 5RE",STW,4001
4448,13363,R TYNE AT FORD,US,4001
669,13363,R TYNE D/S PATHHEAD STW,DS,4001
13682,13682,"Ceres STW, Curling Pond Road, Ceres, Cupar, KY15 5LA",STW,6202
8206,13682,CERES B. U/S CERES STW,US,6202
8207,13682,CERES B. D/S CERES STW,DS,6202
13291,13291,"East Calder STW, Almondel Terrace, East Calder",STW,3001
2393,13291,"River Almond, u/s of East Calder STW",US,3001
4654,13291,"River Almond, 400m d/s East Calder STW",DS,3001
203594,203594,"Newtonmore STW, Kingussie Rd, Newtonmore, PH20 1AY",STW,23142
555789,203594,"River Spey, u/s of Newtonmore STW at stepping stones",US,23142
555790,203594,R. Spey D/S Newtonmore STW,DS,23142
13536,13536,"Eccles STW, Kelso, TD5 7QS",STW,5207
532975,13536,"Eccles Burn, u/s of Eccles STW",US,5207
9611,13536,"Ecces Burn, d/s of Eccles STW",DS,5207
300084,300084,"Tarves STW, Ellon, Aberdeenshire, AB41 7JF",STW,23241
207046,300084,Youlie Burn u/s Tarves STW,US,23241
207045,300084,Youlie Burn d/s Tarves STW,DS,23241
311323,311323,"Drongan STW, Ayrshire, KA6 6HG",STW,10422
122054,311323,WATER OF COYLE AT MILLMANNOCH,US,10422
122055,311323,Water of Coyle at Downstream Drongan STW,DS,10422
13217,13217,"Bonnybridge STW, Roughmute, Falkirk, FK5 1NY",STW,4201
473430,13217,RIVER CARRON U/S OF BONNY WATER CONFLUENCE,US,4201
1613,13217,R CARRON @ OLD ROMAN BRIDGE,DS,4201
1626,13217,BONNY WATER @ BOGTON,Trib1,4201
205340,205340,"New Aberdour (W) STW, New Aberdour, Fraserburgh, AB43 6LD",STW,23057
557759,205340,"Dour Burn, 40m u/s of New Aberdour West STW FE",US,23057
557758,205340,"Dour Burn, 100m d/s of New Aberdour West STW FE",DS,23057
208934,208934,"Carrbridge STW, Carr Rd, Carrbridge, PH23 3AE",STW,23106
535739,208934,River Dulnain 60m u/s Carrbridge STW FE,US,23106
555791,208934,R. Dulnain - d/s of Lochanhully PS,DS,23106
125279,125279,"Coalburn STW, Lanark, ML11 0NF",STW,10097
532970,125279,"Muir Burn, u/s of Coalburn STW",US,10097
532971,125279,"Muir Burn, d/s of Coalburn STW",DS,10097
222288,222288,"Stuartfield STW, Stuartfield, AB42 5DE",STW,23230
207236,222288,South Ugie Water u/s Stuartfield STW,US,23230
207233,222288,SOUTH UGIE WATER D/S STUARTFIELD STW,DS,23230
232139,232139,"Dufftown WWTW, station road, dufftown AB55 4AX",STW,23072
532669,232139,River Fiddich U/S Maltkiln Burn confluence,US,23072
532670,232139,River Fiddich D/S Maltkiln Burn confluence,DS,23072
